Date,y,pred_full,pred_controls,pred_ar1,position_full_lag,trade_switch,cost,ret_strategy_after_cost
2025-04-04,-0.08991296386501269,0.05820651410972893,0.05886492274593555,0.013984052997884541,0,1,0.0005,-0.0005
2025-04-06,0.09402498067973575,0.20550024010261886,0.2146017213234554,0.028076752201599522,1,0,0.0,0.09402498067973575
2025-04-08,0.06253911595509187,0.03031065079216168,0.016114386434655712,-0.026723730832304508,1,0,0.0,0.06253911595509187
2025-04-09,0.048052784148246985,-0.019260329363951143,-0.017028041810518774,-0.01643470779381476,1,1,0.0005,0.047552784148246985
2025-05-02,-0.07686965871458362,-0.011333403647262038,-0.011618809417745873,-0.011701370298638596,0,0,0.0,-0.0
2025-05-03,-0.0428095782215312,0.019765324047782386,0.024447726970539815,0.02480176427836583,0,1,0.0005,-0.0005
2025-05-06,0.006529583773005498,0.034569506543996195,0.034779591260507774,0.014243279406388991,1,0,0.0,0.006529583773005498
2025-05-08,0.07507192562471054,0.02336992463446159,0.018270865530971975,-0.00019805777110711674,1,0,0.0,0.07507192562471054
2025-05-09,0.05899526493440099,-0.014937258692599188,-0.0127774415515991,-0.01980765756470073,1,1,0.0005,0.05849526493440099
2025-06-01,-0.07330160084502957,-0.009903058568119814,-0.011727080559588168,-0.014518587809164448,0,0,0.0,-0.0
2025-06-02,-0.02452741330347763,0.01868612361407747,0.02894288221970606,0.023415248659742944,0,1,0.0005,-0.0005
2025-06-03,-0.03452218932510398,-0.006130346866059804,-0.012488279920439004,0.008984880129158972,1,1,0.0005,-0.03502218932510398
2025-06-06,-0.001714656959190819,0.05192369139727528,0.054227748033503706,0.011622077112711177,0,1,0.0005,-0.0005
2025-06-08,0.0728336985294522,0.015454009490180418,0.009992363359970464,0.002152315363619822,1,0,0.0,0.0728336985294522
2025-07-01,-0.02114937052539645,-0.021863800158623638,-0.02111651512308262,-0.018871076280920173,1,1,0.0005,-0.02164937052539645
2025-07-02,-0.017240374161467287,0.023786123987942838,0.035997878768573945,0.008047748761885631,0,1,0.0005,-0.0005
2025-07-03,-0.04493065528078155,0.004017687709394731,-0.0033955305107794096,0.006801358550501674,1,0,0.0,-0.04493065528078155
2025-07-04,-0.11507043133062034,0.04266044861110565,0.04382620477852316,0.014455349680275828,1,0,0.0,-0.11507043133062034
2025-07-05,0.1071181031401256,0.16603618085107663,0.18323770462721195,0.033420790065093,1,0,0.0,0.1071181031401256
2025-07-07,0.0737847618909413,0.09362313901541709,0.08247669035151493,-0.029404435253121183,1,0,0.0,0.0737847618909413
2025-07-08,0.023350719369380712,-0.013234320918037305,-0.014531523027454956,-0.018840422039916635,1,1,0.0005,0.022850719369380712
2025-08-01,-0.01958731755953913,-0.0035761551768084244,-0.003267729032718079,-0.0044770000100024625,0,0,0.0,-0.0
2025-08-04,-0.22862434078354,0.016945237969731308,0.031218308156800722,0.00740122289737074,0,1,0.0005,-0.0005
2025-08-05,0.1499840903187124,0.1695420197013345,0.1793392797149327,0.06376252079531451,1,0,0.0,0.1499840903187124
2025-08-07,0.07014652206510519,0.09670585488595128,0.08773342571732082,-0.04184950526628216,1,0,0.0,0.07014652206510519
2025-08-08,0.04310258051885718,-0.0144266720005641,-0.01831960950972772,-0.01768413031023215,1,1,0.0005,0.04260258051885718
2025-08-09,0.051167728475524754,-0.014363218132810265,-0.014791038528197947,-0.009808778184712407,0,0,0.0,0.0
2025-09-04,-0.2894964076680182,-0.014472201290407551,-0.016403180232959367,-0.011674944373778638,0,0,0.0,-0.0
2025-09-05,0.13772706624231112,0.09482715076869092,0.11070606711651483,0.08256342414665313,0,1,0.0005,-0.0005
2025-09-06,0.01847526478645989,0.06204544110780024,0.057831724351602665,-0.03872385274780076,1,0,0.0,0.01847526478645989
2025-09-07,0.04910702991231197,-0.002317136184913913,-0.00614422399965818,-0.00371274183473544,1,1,0.0005,0.04860702991231197
2025-09-09,0.09463785638256539,-0.018616061119543673,-0.01844996779950527,-0.012226695645579466,0,0,0.0,0.0
2025-10-01,-0.10451427176452022,-0.02252177734368818,-0.02343331616491905,-0.024500254726277034,0,0,0.0,-0.0
2025-10-02,-0.02079306331803288,0.025518989037293795,0.04492011462319703,0.031939412642844146,0,1,0.0005,-0.0005
2025-10-03,-0.04660212469067737,0.0005062378976040372,-0.010078554596238019,0.007601070748521517,1,0,0.0,-0.04660212469067737
2025-10-04,-0.13445315622657183,0.05775195774673347,0.05873727429472034,0.01466224375754774,1,0,0.0,-0.13445315622657183
2025-10-06,0.1691560887284762,0.11718448821079974,0.12515510185354148,0.03835256126279297,1,0,0.0,0.1691560887284762
2025-10-07,0.03888036286959107,0.03680937012329861,0.030217925956908993,-0.04752714466962397,1,0,0.0,0.03888036286959107
2025-10-09,0.08930329840869433,-0.01878358481234609,-0.01893954923263248,-0.00918945088186448,1,1,0.0005,0.08880329840869433
2025-11-03,-0.17344232106215607,-0.023088886086064422,-0.02365025157726853,-0.022766985982755703,0,0,0.0,-0.0
2025-11-04,-0.07469542783736394,0.0720581557553874,0.08242277538576787,0.051193989876011446,0,1,0.0005,-0.0005
2025-11-06,0.12394135546019491,0.10034123514683094,0.10325949465227788,0.021483776771219855,1,0,0.0,0.12394135546019491
2025-11-07,0.03717189598599724,0.034878541292872565,0.030583293228425557,-0.033106101239222904,1,0,0.0,0.03717189598599724
2025-11-09,0.09533356404289783,-0.018419917535280973,-0.01601779565091942,-0.008475806119128435,1,1,0.0005,0.09483356404289783
2025-12-02,-0.1165521468467432,-0.02408232486664478,-0.02759616750008271,-0.023792383728515654,0,0,0.0,-0.0
2025-12-03,-0.06032571609432047,0.0056128228771586425,0.018837200358922473,0.03399862344143313,0,1,0.0005,-0.0005
2025-12-05,0.025093318583833124,0.04625550321357145,0.042844851368091595,0.017693614796545656,1,0,0.0,0.025093318583833124
2025-12-06,0.016512654962172135,0.014359083818014824,0.012966980521834546,-0.005403921758563244,1,0,0.0,0.016512654962172135
2025-12-08,0.09390723663179656,0.003217050015315225,-0.005793258366468032,-0.002985500275637126,1,0,0.0,0.09390723663179656
2025-12-09,0.06227396251841988,-0.02978682032847639,-0.0266363118109406,-0.023467044668730754,1,1,0.0005,0.06177396251841988
